URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH,,
1,https://insights.blackcoffer.com/how-is-login-logout-time-tracking-for-employees-in-office-done-by-ai/,2,6,-0.499999938,0.024464832,16,0.388379205,6.555351682,16,127,327,1239,4,5.234352256,,
2,https://insights.blackcoffer.com/how-does-ai-help-to-monitor-retail-shelf-watches/,8,6,0.142857133,0.04620462,15,0.445544554,6.178217822,15,135,303,1155,2,5.479674797,,
3,https://insights.blackcoffer.com/ai-and-its-impact-on-the-fashion-industry/,31,23,0.148148145,0.062572422,22,0.483198146,8.993279258,22,417,863,3231,10,5.619883041,,
4,https://insights.blackcoffer.com/how-do-deep-learning-models-predict-old-and-new-drugs-that-are-successfully-treated-in-healthcare/,3,1,0.499999875,0.018779343,15,0.502347418,6.200938967,15,107,213,818,1,5.384433962,,
5,https://insights.blackcoffer.com/how-artificial-intelligence-can-boost-your-productivity-level/,18,17,0.028571428,0.066413662,11,0.483870968,4.593548387,11,255,527,2304,26,5.254787677,,
6,https://insights.blackcoffer.com/how-are-genetic-sequencing-maps-affected-by-deep-learning-and-ai/,15,12,0.111111107,0.050092764,14,0.554730983,5.821892393,14,299,539,2174,3,5.562043796,,
7,https://insights.blackcoffer.com/how-is-ai-used-to-solve-traffic-management/,22,27,-0.102040814,0.067961165,14,0.449375867,5.779750347,14,324,721,2525,1,5.717791411,,
8,https://insights.blackcoffer.com/benefits-of-big-data-in-different-fields/,37,11,0.541666655,0.052689352,18,0.456641054,7.382656422,18,416,911,3259,9,5.519298246,,
9,https://insights.blackcoffer.com/how-big-data-will-impact-the-future-of-business/,40,10,0.599999988,0.062266501,15,0.386052304,6.154420922,15,310,803,2854,1,5.603322259,,
10,https://insights.blackcoffer.com/how-will-ai-make-decisions-in-tomorrows-wars/,8,15,-0.304347813,0.098712446,9,0.412017167,3.764806867,9,96,233,994,1,5.142608696,,
11,https://insights.blackcoffer.com/which-one-is-better-ai-or-big-data/,5,2,0.428571367,0.022508039,14,0.440514469,5.776205788,14,137,311,1235,2,5.481300813,,
12,https://insights.blackcoffer.com/how-robots-can-help-in-e-learning-platforms/,20,35,-0.272727268,0.093856655,10,0.43003413,4.172013652,10,252,586,2474,30,5.226470588,,
13,https://insights.blackcoffer.com/how-does-big-data-help-in-finance-and-the-growth-of-large-firms/,15,14,0.034482757,0.049572649,12,0.415384615,4.966153846,12,243,585,2177,4,4.88956588,,
14,https://insights.blackcoffer.com/future-of-work-robot-ai-and-automation/,8,7,0.066666662,0.059760956,11,0.545816733,4.618326693,11,137,251,1085,5,5.393829401,,
15,https://insights.blackcoffer.com/how-ai-will-help-the-defense-power-of-a-country/,13,38,-0.490196069,0.091234347,7,0.398926655,2.959570662,7,223,559,2422,8,5.175566935,,
16,https://insights.blackcoffer.com/future-of-ai-and-machine-roles-in-the-medical-sector/,8,7,0.066666662,0.041899441,14,0.441340782,5.776536313,14,158,358,1562,4,5.022099448,,
17,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,21,18,0.076923075,0.041009464,18,0.513144059,7.405257624,18,488,951,3478,0,5.882319173,,
18,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,20,33,-0.245283014,0.097966728,8,0.388170055,3.355268022,8,210,541,2371,6,5.042599278,,
19,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,23,36,-0.220338979,0.073019802,12,0.508663366,5.003465347,12,411,808,3134,2,5.604216867,,
20,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,11,20,-0.290322571,0.052810903,8,0.465076661,3.386030664,8,273,587,2804,18,5.000643915,,
21,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,22,26,-0.083333332,0.066298342,10,0.437845304,4.175138122,10,317,724,3001,13,5.237812128,,
22,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,26,21,0.106382976,0.090733591,12,0.422779923,4.969111969,12,219,518,2195,15,5.174230146,,
23,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,10,4,0.428571398,0.044164038,8,0.337539432,3.335015773,8,107,317,1227,7,5.245152355,,
24,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,38,26,0.187499997,0.103392568,11,0.470113086,4.588045234,11,291,619,2679,13,5.249655172,,
25,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,9,6,0.199999987,0.051903114,10,0.439446367,4.175778547,10,127,289,1163,0,4.98255814,,
26,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,26,34,-0.133333331,0.066740823,13,0.462736374,5.385094549,13,416,899,3899,8,5.089066918,,
